epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.43355482816696167,1.9467580318450928,0.4501992166042328,0.37541529536247253,0.3472222089767456,1.7334094047546387,0.3472222089767456,0.3472222089767456
1,0.375,2.259673833847046,0.4285714328289032,0.375,0.3402777910232544,1.785413146018982,0.3402777910232544,0.3402777910232544
2,0.4401993453502655,1.747452974319458,0.4722222089767456,0.39534884691238403,0.375,3.332162618637085,0.375,0.375
3,0.25,1.9330615997314453,0.3076923191547394,0.25,0.3611111044883728,3.474895477294922,0.3611111044883728,0.3611111044883728
4,0.49003320932388306,1.764400601387024,0.5158730149269104,0.4318936765193939,0.3541666567325592,4.734941482543945,0.3541666567325592,0.3541666567325592
5,0.625,1.3542934656143188,0.5454545617103577,0.375,0.3541666567325592,4.8572540283203125,0.3541666567325592,0.3541666567325592
6,0.5166112780570984,1.5834312438964844,0.5514563322067261,0.4717608094215393,0.3819444477558136,4.181148052215576,0.3819444477558136,0.3819444477558136
7,0.4375,1.9613922834396362,0.5384615659713745,0.4375,0.3611111044883728,4.196630477905273,0.3611111044883728,0.3611111044883728
8,0.5066445469856262,1.5090477466583252,0.5372549295425415,0.45514950156211853,0.375,4.42613410949707,0.375,0.375
9,0.5,1.5542476177215576,0.5,0.375,0.375,4.35722017288208,0.375,0.375
10,0.539867103099823,1.4560620784759521,0.586693525314331,0.4833886921405792,0.3333333432674408,5.190169811248779,0.15000000596046448,0.02083333395421505
11,0.5,1.388535976409912,0.5333333611488342,0.5,0.3055555522441864,5.227729797363281,0.20000000298023224,0.02083333395421505
12,0.5315614342689514,1.4638290405273438,0.5734694004058838,0.46677741408348083,0.3611111044883728,4.330481052398682,0.3525179922580719,0.3402777910232544
13,0.5,1.5967909097671509,0.5333333611488342,0.5,0.3472222089767456,4.491004467010498,0.34532374143600464,0.3333333432674408
14,0.5431893467903137,1.3910349607467651,0.5905511975288391,0.49833887815475464,0.3611111044883728,4.538301467895508,0.3564356565475464,0.25
15,0.5,1.7104666233062744,0.6363636255264282,0.4375,0.3402777910232544,4.445370197296143,0.35514017939567566,0.2638888955116272
16,0.539867103099823,1.3678953647613525,0.5819672346115112,0.4717608094215393,0.3333333432674408,4.0624284744262695,0.34328359365463257,0.3194444477558136
17,0.625,1.081507921218872,0.625,0.625,0.3680555522441864,4.106814384460449,0.36153846979141235,0.3263888955116272
18,0.5382059812545776,1.390117883682251,0.5823293328285217,0.48172757029533386,0.3263888955116272,3.013925790786743,0.31578946113586426,0.2916666567325592
19,0.4375,1.4353090524673462,0.4615384638309479,0.375,0.3333333432674408,3.0145697593688965,0.3484848439693451,0.3194444477558136
20,0.539867103099823,1.383277416229248,0.5759368538856506,0.485049843788147,0.3263888955116272,3.290132522583008,0.321739137172699,0.2569444477558136
21,0.3125,1.7183458805084229,0.3571428656578064,0.3125,0.3125,3.140061616897583,0.32407405972480774,0.2430555522441864
22,0.529900312423706,1.394694447517395,0.5743380784988403,0.4684385359287262,0.3194444477558136,3.4150500297546387,0.3333333432674408,0.2430555522441864
23,0.5625,1.140029788017273,0.5625,0.5625,0.3680555522441864,3.213989019393921,0.349056601524353,0.2569444477558136
24,0.554817259311676,1.3752962350845337,0.5972495079040527,0.5049833655357361,0.3472222089767456,3.1075234413146973,0.3513513505458832,0.2708333432674408
25,0.5,1.6787346601486206,0.5833333134651184,0.4375,0.3680555522441864,3.1589009761810303,0.32758620381355286,0.2638888955116272
26,0.5465116500854492,1.343785047531128,0.5813491940498352,0.48671096563339233,0.3472222089767456,2.9342825412750244,0.37168142199516296,0.2916666567325592
